update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,average_reward_per_step,average_discounted_return,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
24,196608,151.25878829386292,1285,1.0,0.0,1.0,1.0,0.328386292834891,0.805118803738318,3.0605607476635512,0.25074778546818316,3.0,5.0,0.1025494746863842,0.8995644971728325,-0.0007750179138383828,0.0001729953619360458,0.00823019761445501,1.0,0.0,1.0,1.0
25,204800,151.5384048939868,1339,1.0,0.0,1.0,1.0,0.32911077993045207,0.8058289828614013,3.0517883755588673,0.2346648494741645,3.0,6.0,0.09441447351127863,0.9002237245440483,-0.00042777525777637493,0.00015471374717890285,0.008350442546373953,1.0,0.0,1.0,1.0
26,212992,151.29102940926268,1393,1.0,0.0,1.0,1.0,0.3296681525507677,0.8063799739970284,3.0449479940564634,0.2193815540112799,3.0,6.0,0.08689164649695158,0.9008334130048752,-0.0008908334530133288,0.00013803113597532501,0.009859440287265223,1.0,0.0,1.0,1.0
27,221184,151.2723659965379,1447,1.0,0.0,1.0,1.0,0.3301434223541049,0.8068813798219588,3.0385756676557865,0.19639568489638265,3.0,5.0,0.08219612389802933,0.9009441509842873,-0.0010165984858758748,0.00011117318626929773,0.008619918342086301,1.0,0.0,1.0,1.0
28,229376,144.54222073397383,1504,1.0,0.0,1.0,1.0,0.3300420687948528,0.8067648106904235,3.0400890868596884,0.20359644880019667,3.0,5.0,0.07691880036145449,0.9011859595775604,0.0003077089636462915,0.00011961956806771923,0.00723201994272891,1.0,0.0,1.0,1.0
29,237568,151.4570858639591,1558,1.0,0.0,1.0,1.0,0.3302283950617284,0.8069730000000002,3.0374074074074073,0.1916998539884796,3.0,5.0,0.07235009036958218,0.9015671089291573,0.0005421794376161415,0.00010888625092775328,0.007847027689978383,1.0,0.0,1.0,1.0
30,245760,151.22230525917684,1612,1.0,0.0,1.0,1.0,0.32997027127461914,0.8067220735785956,3.0405053883314754,0.19901738613024278,3.0,5.0,0.06692990381270647,0.9004912450909615,0.00036494377400231315,0.00011451507907622727,0.009482763054877268,1.0,0.0,1.0,1.0
31,253952,151.167737729334,1666,1.0,0.0,1.0,1.0,0.3314268142681427,0.808146863468635,3.0228782287822877,0.14951526821723968,3.0,4.0,0.06376218516379595,0.9017185643315315,-0.00014815179474680917,6.855974379504914e-05,0.009473945801215515,1.0,0.0,1.0,1.0
32,262144,151.17494744892664,1720,1.0,0.0,1.0,1.0,0.3314650934119961,0.8081571902654872,3.0228613569321534,0.15668792126997233,3.0,5.0,0.061967131216079,0.9013914987444878,-0.0004919108032481745,7.269775232998654e-05,0.008640553519553704,1.0,0.0,1.0,1.0
33,270336,151.54360540348628,1774,1.0,0.0,1.0,1.0,0.3308475203552924,0.8075747964470766,3.029977794226499,0.17268271057013665,3.0,5.0,0.0590564152225852,0.9014139771461487,0.00029534095574490493,8.572828392061638e-05,0.00818600120408871,1.0,0.0,1.0,1.0
34,278528,151.120582243009,1829,1.0,0.0,1.0,1.0,0.3306563039723662,0.8073709474463364,3.0325684678016285,0.18365277034881272,3.0,5.0,0.05538957193493843,0.9015165790915489,-0.0002600365951366257,0.00010008639310399303,0.009596401441180227,1.0,0.0,1.0,1.0
35,286720,144.07933971240104,1885,1.0,0.0,1.0,1.0,0.3310967344423907,0.8078170425138634,3.0269870609981515,0.16431108018338128,3.0,5.0,0.051403248216956854,0.9014360904693604,0.0008194426336558536,7.800928369761095e-05,0.008232604608593774,1.0,0.0,1.0,1.0
36,294912,143.42225037093155,1943,1.0,0.0,1.0,1.0,0.33127154111275237,0.8079959379615955,3.024741506646972,0.15533629484383157,3.0,4.0,0.048129542265087366,0.902043990790844,1.4019988157087937e-05,7.016680774540873e-05,0.006199965105732671,1.0,0.0,1.0,1.0
37,303104,148.88572837573997,1998,1.0,0.0,1.0,1.0,0.33110289587184233,0.807796081330869,3.0273567467652494,0.17194720500332444,3.0,5.0,0.044162239879369736,0.9016629531979561,0.0003749369034267147,8.048607196542434e-05,0.0066772894033748365,1.0,0.0,1.0,1.0
38,311296,148.83542289938697,2053,1.0,0.0,1.0,1.0,0.3320894607843138,0.8087820220588239,3.0150735294117648,0.12482632831452037,3.0,5.0,0.04171663476154208,0.9020630940794945,-0.0002694650011108024,4.1452773757555406e-05,0.007643134979330132,1.0,0.0,1.0,1.0
39,319488,148.82491232961286,2108,1.0,0.0,1.0,1.0,0.33171705998033435,0.8084200221238941,3.019542772861357,0.14106139095120962,3.0,5.0,0.040620002429932356,0.902442455291748,-0.0007640738931513624,6.162123327158042e-05,0.009409993975391861,1.0,0.0,1.0,1.0
40,327680,149.4356940258773,2163,1.0,0.0,1.0,1.0,0.33188405797101456,0.8085733971997057,3.0176860722181282,0.13728479310955768,3.0,5.0,0.0384939000941813,0.9019362255930901,0.00038294222167678527,5.491271463142766e-05,0.007320101720442144,1.0,0.0,1.0,1.0
41,335872,148.77623134907844,2218,1.0,0.0,1.0,1.0,0.3320456217807211,0.8087483443708612,3.0154525386313464,0.12334406220484763,3.0,4.0,0.03669123724102974,0.9026130512356758,0.0005000583041692153,4.546038189801038e-05,0.006369311251292815,1.0,0.0,1.0,1.0
42,344064,148.8354757654257,2273,1.0,0.0,1.0,1.0,0.3322909001716949,0.8089867549668878,3.0125091979396617,0.11114278162151552,3.0,4.0,0.03551652980968356,0.9023894146084785,-9.829608097788878e-05,3.7058951193102985e-05,0.006288522557413155,1.0,0.0,1.0,1.0
43,352256,141.10403076958622,2331,1.0,0.0,1.0,1.0,0.3320890033100405,0.8087815741081283,3.0150790731886725,0.12484894587553336,3.0,5.0,0.03441794915124774,0.9022970795631409,-0.0013613934570457786,4.9329011744703166e-05,0.0050466455333493445,1.0,0.0,1.0,1.0
44,360448,149.15443212839756,2386,1.0,0.0,1.0,1.0,0.3319823139277819,0.8086868091378042,3.0162122328666174,0.12629091959478364,3.0,4.0,0.032765036914497614,0.9019670709967613,-9.27281239455624e-05,4.845805119657598e-05,0.006222662722558522,1.0,0.0,1.0,1.0
45,368640,149.12143702079834,2441,1.0,0.0,1.0,1.0,0.3324455057555719,0.8091370315944164,3.0106539309331373,0.10266657045411294,3.0,4.0,0.03164001973345876,0.9027779176831245,-0.0006401820082828635,3.220372991563636e-05,0.005243295725396494,1.0,0.0,1.0,1.0
46,376832,148.49005175846858,2496,1.0,0.0,1.0,1.0,0.3325067352436934,0.8091965466568702,3.0099191770756795,0.09909988396471996,3.0,4.0,0.03120577917434275,0.9026301577687263,-0.000306946509226691,3.1050766665430274e-05,0.006074029786758374,1.0,0.0,1.0,1.0
47,385024,149.01482439037358,2551,1.0,0.0,1.0,1.0,0.33251898114131767,0.8091995224099929,3.0099191770756795,0.10274016186126392,3.0,5.0,0.03088808781467378,0.9023504108190536,0.0002376132806602982,3.0937736141822825e-05,0.006525950594375333,1.0,0.0,1.0,1.0
48,393216,149.01899677930024,2606,1.0,0.0,1.0,1.0,0.33205741626794266,0.8087508649245495,3.015458225984542,0.12631458836261356,3.0,5.0,0.030039274599403143,0.9023043513298035,0.0007706428004894406,4.631932461052202e-05,0.0077324778387685665,1.0,0.0,1.0,1.0
49,401408,149.27490322733235,2661,1.0,0.0,1.0,1.0,0.33232193208287364,0.8090169179845536,3.0121368150055168,0.10949663340504401,3.0,4.0,0.02897617849521339,0.9026470333337784,0.0007065346362651326,3.4486527397348254e-05,0.005990621700652598,1.0,0.0,1.0,1.0
50,409600,148.49196923947284,2716,1.0,0.0,1.0,1.0,0.33241421568627455,0.8091066176470592,3.011029411764706,0.104440240524572,3.0,4.0,0.027968282578513026,0.902924083173275,-0.00012501183664426208,3.1837616461416474e-05,0.005212087731930876,1.0,0.0,1.0,1.0
51,417792,142.17694617607827,2773,1.0,0.0,1.0,1.0,0.3324580732035745,0.8091403231729714,3.0106500183621008,0.10616534037038641,3.0,5.0,0.027371125295758247,0.9030685573816299,0.0003368573720763379,3.335800175818804e-05,0.006579445395238704,1.0,0.0,1.0,1.0
52,425984,141.9086238539764,2831,1.0,0.0,1.0,1.0,0.3322912835601324,0.808987127620449,3.012504597278411,0.1111226004254577,3.0,4.0,0.0265361531637609,0.9023914411664009,0.0005182725944905542,3.7940272818559606e-05,0.006110602751739082,1.0,0.0,1.0,1.0
53,434176,149.42862779711723,2886,1.0,0.0,1.0,1.0,0.33265980896399705,0.8093453343130053,3.0080822924320354,0.08953752833911784,3.0,4.0,0.02589596319012344,0.9022669047117233,-0.0004495584071264602,2.2978368178883102e-05,0.007856712001015327,1.0,0.0,1.0,1.0
54,442368,148.89007031777106,2941,1.0,0.0,1.0,1.0,0.3325067352436934,0.8091965466568702,3.0099191770756795,0.09909988396471996,3.0,4.0,0.025592429097741842,0.9026204943656921,-0.000914376403670758,2.9620595569213037e-05,0.004021295999989976,1.0,0.0,1.0,1.0
55,450560,150.8759777022225,2995,1.0,0.0,1.0,1.0,0.33262919421993636,0.8093155767817786,3.0084496693607643,0.09153290363829779,3.0,4.0,0.025075979297980666,0.902888186275959,-8.804091692127258e-05,2.4780082071629295e-05,0.007354758096588671,1.0,0.0,1.0,1.0
56,458752,151.14956816314339,3050,1.0,0.0,1.0,1.0,0.33250703880523935,0.8091968417186929,3.009915534337128,0.09908186774550326,3.0,4.0,0.02476153359748423,0.9028371721506119,0.0006608505573240109,2.8391534328875423e-05,0.005295568020982047,1.0,0.0,1.0,1.0
57,466944,151.25418125910855,3104,1.0,0.0,1.0,1.0,0.3322725042923719,0.8089599337748348,3.012877115526122,0.11596176350319239,3.0,5.0,0.023828301345929503,0.9027195274829865,0.0005171336961211637,4.2227590711263474e-05,0.008874294437109374,1.0,0.0,1.0,1.0
