update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,average_reward_per_step,average_discounted_return,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,8192,369.7620892999894,22,-0.911402789171452,0.41151543821647546,-1.0,1.0,-0.35881942814597406,-0.6311498570689014,6.652994257588187,6.615430328703439,1.0,42.0,1.9578722417354584,-0.3248670678585768,0.1113090617582202,0.11577824410051107,1.0584211111350141,-0.911402789171452,0.41151543821647546,-1.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,average_reward_per_step,average_discounted_return,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,16384,376.71483706411044,43,-0.5581787521079258,0.8297207245183399,-1.0,1.0,-0.1733585597594066,-0.3511165511820304,13.721753794266442,11.181854834118012,1.0,56.0,1.949813112616539,-0.3026486821472645,-0.03274875460192561,0.06458141561597586,0.24356459195155478,-0.5581787521079258,0.8297207245183399,-1.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,average_reward_per_step,average_discounted_return,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,24576,384.7870952982668,65,-0.1347517730496454,0.9908793870396019,-1.0,1.0,-0.08496989063424192,-0.17974637065479684,19.10874704491726,13.309997099172689,1.0,66.0,1.9336315542459488,-0.23465117439627647,-0.07504334952682257,0.05888019595295191,0.5463785457049248,-0.1347517730496454,0.9908793870396019,-1.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,average_reward_per_step,average_discounted_return,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,32768,400.13222593528707,85,0.33815028901734107,0.9395553249421155,-1.0,1.0,-0.025003663916913162,-0.04083987869323656,23.523121387283236,14.168914422837105,1.0,76.0,1.920391395688057,-0.1540623139590025,-0.08967341389507055,0.04796621156856418,0.3824728638729701,0.33815028901734107,0.9395553249421155,-1.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,average_reward_per_step,average_discounted_return,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,40960,367.3527291420456,107,0.5903954802259888,0.805362227927075,-1.0,1.0,0.0026728925940004093,0.027899876461760988,23.64406779661017,13.309776422794718,1.0,76.0,1.9114350229501724,-0.11838716361671686,-0.10507102403789759,0.04472357826307416,0.27354119675558647,0.5903954802259888,0.805362227927075,-1.0,1.0
6,49152,352.3163754596528,131,0.6923076923076923,0.7216024245882199,-1.0,1.0,0.023026770809135927,0.07529469533182709,22.15934065934066,11.586838668700823,1.0,63.0,1.90987066924572,-0.031093784549739212,-0.09211343619972467,0.039519956801086664,0.47203849372389245,0.6923076923076923,0.7216024245882199,-1.0,1.0
